# Simulation 1 (Up to date)
# 641 data points written for 58 variables.
#
# Time (s),Altitude (m),Altitude above sea level (m),Vertical velocity (m/s),Total velocity (m/s),Vertical acceleration (m/s²),Total acceleration (m/s²),Position East of launch (m),Position North of launch (m),Lateral distance (m),Lateral direction (°),Lateral velocity (m/s),Lateral acceleration (m/s²),Latitude (° N),Longitude (° E),Angle of attack (°),Roll rate (°/s),Pitch rate (°/s),Yaw rate (°/s),Vertical orientation (zenith) (°),Lateral orientation (azimuth) (°),Mass (g),Motor mass (g),Longitudinal moment of inertia (kg·m²),Rotational moment of inertia (kg·m²),Gravitational acceleration (m/s²),CP location (cm),CG location (cm),Stability margin calibers (​),Thrust (N),Thrust-to-weight ratio (​),Drag force (N),Drag coefficient (​),Friction drag coefficient (​),Pressure drag coefficient (​),Base drag coefficient (​),Axial drag coefficient (​),Normal force coefficient (​),Pitch moment coefficient (​),Yaw moment coefficient (​),Side force coefficient (​),Roll moment coefficient (​),Roll forcing coefficient (​),Roll damping coefficient (​),Pitch damping coefficient (​),Wind velocity (m/s),Wind direction (°),Air temperature (°C),Air pressure (mbar),Air density (g/cm³),Speed of sound (m/s),Mach number (​),Reynolds number (​),Reference length (cm),Reference area (cm²),Simulation time step (s),Computation time (s),Coriolis acceleration (m/s²)
# Event IGNITION occurred at t=0 seconds
# Event LAUNCH occurred at t=0 seconds
4.44,325.679,340.679,45.676,45.873,-14.014,14.02,25.701,0.005,25.701,89.988,4.252,0.408,59.75,17.15,0.278,-3.183e-6,-3.464,5.565e-4,78.176,89.985,1203.52,107.52,0.456,0.007,9.818,129.762,98.494,3.078,0,0,5.042,0.483,0.252,0.108,0.122,0.483,0.053,0.166,-1.356e-4,0,0,0,0,-0.002,5.079,90,12.786,973.294,0.001,339.047,0.138,5.364e6,10.16,81.073,0.05,0.066,0.003
4.49,327.945,342.945,44.979,45.177,-13.847,13.862,25.913,0.006,25.913,89.988,4.226,0.638,59.75,17.15,0.133,-3.235e-6,-2.648,-0.002,78.026,89.984,1203.52,107.52,0.456,0.007,9.818,129.943,98.494,3.095,0,0,4.902,0.483,0.253,0.108,0.122,0.483,0.025,0.08,-2.489e-4,0,0,0,0,-0.001,5.205,90,12.771,973.028,0.001,339.038,0.136,5.287e6,10.16,81.073,0.05,0.066,0.003
4.54,330.177,345.177,44.293,44.489,-13.614,13.669,26.123,0.006,26.123,89.988,4.18,1.228,59.75,17.15,0.254,-3.2e-6,2.802,-0.008,77.896,89.983,1203.52,107.52,0.456,0.007,9.818,129.789,98.494,3.08,0,0,4.775,0.483,0.253,0.108,0.122,0.483,0.049,0.149,4.988e-4,0,0,0,0,0.002,5.525,90,12.756,972.767,0.001,339.029,0.134,5.216e6,10.16,81.073,0.05,0.066,0.003
4.59,332.375,347.375,43.616,43.81,-13.459,13.535,26.331,0.006,26.331,89.987,4.112,1.426,59.75,17.15,0.4,-3.194e-6,4.085,-0.006,77.726,89.983,1203.52,107.52,0.456,0.007,9.818,129.606,98.494,3.062,0,0,4.646,0.484,0.254,0.108,0.122,0.484,0.077,0.233,3.457e-4,0,0,0,0,0.003,5.697,90,12.742,972.509,0.001,339.021,0.132,5.141e6,10.16,81.073,0.05,0.067,0.003
4.64,334.539,349.539,42.944,43.135,-13.445,13.477,26.535,0.006,26.535,89.987,4.051,0.926,59.75,17.15,0.078,-3.239e-6,5.025,-0.029,77.493,89.983,1203.52,107.52,0.456,0.007,9.818,130.01,98.494,3.102,0,0,4.502,0.484,0.254,0.108,0.122,0.484,0.015,0.041,4.221e-4,0,0,0,0,0.005,5.537,90,12.728,972.255,0.001,339.012,0.13,5.059e6,10.16,81.073,0.05,0.067,0.003
4.69,336.669,351.669,42.272,42.462,-13.45,13.455,26.736,0.006,26.736,89.987,4.019,0.377,59.75,17.15,0.304,-3.351e-6,-4.591,-0.005,77.247,89.983,1203.52,107.52,0.456,0.007,9.818,129.724,98.494,3.074,0,0,4.362,0.485,0.255,0.107,0.122,0.485,0.058,0.184,-1.199e-4,0,0,0,0,-0.005,5.313,90,12.714,972.005,0.001,339.004,0.128,4.977e6,10.16,81.073,0.05,0.068,0.003
4.74,338.766,353.766,41.603,41.794,-13.253,13.277,26.937,0.006,26.937,89.987,3.993,0.8,59.75,17.15,0.004,-3.27e-6,3.877,-0.217,77.04,89.983,1203.52,107.52,0.456,0.007,9.818,130.103,98.494,3.111,0,0,4.244,0.485,0.256,0.107,0.122,0.485,8.497e-4,-3.911e-4,2.41e-4,0,0,0,0,0.003,5.585,90,12.701,971.759,0.001,338.995,0.126,4.907e6,10.16,81.073,0.05,0.068,0.003
4.79,340.829,355.829,40.944,41.134,-13.131,13.161,27.135,0.006,27.135,89.987,3.949,0.877,59.75,17.15,0.072,-3.266e-6,4.095,-0.006,76.841,89.984,1203.52,107.52,0.456,0.007,9.818,130.016,98.494,3.103,0,0,4.122,0.485,0.256,0.107,0.122,0.485,0.014,0.039,-1.309e-4,0,0,0,0,0.004,5.678,90,12.687,971.517,0.001,338.987,0.124,4.834e6,10.16,81.073,0.05,0.068,0.003
4.84,342.86,357.86,40.289,40.478,-13.065,13.084,27.332,0.006,27.332,89.986,3.909,0.706,59.75,17.15,0.051,-3.28e-6,-4.128,0.002,76.634,89.984,1203.52,107.52,0.456,0.007,9.818,130.041,98.494,3.105,0,0,3.997,0.486,0.257,0.107,0.122,0.486,0.01,0.035,-2.673e-4,0,0,0,0,-0.004,5.626,90,12.674,971.279,0.001,338.979,0.122,4.757e6,10.16,81.073,0.05,0.069,0.003
4.89,344.858,359.858,39.639,39.828,-12.943,12.968,27.526,0.007,27.526,89.986,3.872,0.802,59.75,17.15,0.034,-3.285e-6,4.024,0.028,76.431,89.985,1203.52,107.52,0.456,0.007,9.818,130.062,98.494,3.107,0,0,3.881,0.486,0.257,0.107,0.122,0.486,0.007,0.017,-1.368e-4,0,0,0,0,0.004,5.72,90,12.661,971.045,0.001,338.971,0.12,4.685e6,10.16,81.073,0.05,0.069,0.003
4.94,346.824,361.824,38.994,39.182,-12.864,12.884,27.719,0.007,27.719,89.986,3.834,0.715,59.75,17.15,0.027,-3.289e-6,-4.062,0.053,76.228,89.986,1203.52,107.52,0.456,0.007,9.818,130.07,98.494,3.108,0,0,3.765,0.487,0.258,0.107,0.122,0.487,0.005,0.02,1.704e-4,0,0,0,0,-0.004,5.704,90,12.648,970.814,0.001,338.964,0.118,4.611e6,10.16,81.073,0.05,0.07,0.003
4.99,348.758,363.758,38.352,38.54,-12.829,12.837,27.91,0.007,27.91,89.986,3.804,0.449,59.75,17.15,0.246,-3.268e-6,-3.676,0.007,76.032,89.986,1203.52,107.52,0.456,0.007,9.818,129.792,98.494,3.08,0,0,3.646,0.488,0.259,0.107,0.122,0.488,0.047,0.149,-4.734e-4,0,0,0,0,-0.004,5.56,90,12.636,970.587,0.001,338.956,0.116,4.534e6,10.16,81.073,0.05,0.07,0.003
5.04,350.659,365.659,37.712,37.901,-12.752,12.758,28.1,0.007,28.1,89.986,3.784,0.372,59.75,17.151,0.309,-3.327e-6,-2.849,0.006,75.869,89.986,1203.52,107.52,0.456,0.007,9.818,129.711,98.494,3.073,0,0,3.533,0.488,0.259,0.107,0.122,0.489,0.06,0.185,2.782e-4,0,0,0,0,-0.002,5.494,90,12.623,970.364,0.001,338.949,0.115,4.46e6,10.16,81.073,0.05,0.071,0.003
5.09,352.529,367.529,37.077,37.268,-12.633,12.643,28.288,0.007,28.288,89.986,3.764,0.479,59.75,17.151,0.207,-3.462e-6,-2.119,0.007,75.746,89.986,1203.52,107.52,0.456,0.007,9.818,129.839,98.494,3.085,0,0,3.425,0.489,0.26,0.107,0.122,0.489,0.04,0.124,-4.056e-4,0,0,0,0,-0.001,5.513,90,12.611,970.145,0.001,338.941,0.113,4.388e6,10.16,81.073,0.05,0.071,0.003
5.14,354.367,369.367,36.449,36.64,-12.507,12.522,28.476,0.007,28.476,89.985,3.736,0.627,59.75,17.151,0.057,-3.414e-6,-1.766,0.012,75.65,89.985,1203.52,107.52,0.456,0.007,9.818,130.028,98.494,3.104,0,0,3.321,0.49,0.261,0.107,0.122,0.49,0.011,0.035,3.153e-4,0,0,0,0,-8.924e-4,5.549,90,12.599,969.929,0.001,338.934,0.111,4.318e6,10.16,81.073,0.05,0.071,0.003
5.19,356.174,371.174,35.827,36.018,-12.342,12.379,28.662,0.007,28.662,89.985,3.697,0.945,59.75,17.151,0.27,-3.406e-6,1.994,-0.002,75.56,89.984,1203.52,107.52,0.456,0.007,9.818,129.759,98.494,3.077,0,0,3.225,0.49,0.262,0.107,0.122,0.49,0.052,0.158,2.075e-4,0,0,0,0,0.001,5.709,90,12.587,969.717,0.001,338.927,0.109,4.252e6,10.16,81.073,0.05,0.072,0.003
5.24,357.95,372.95,35.212,35.401,-12.275,12.305,28.845,0.008,28.845,89.985,3.651,0.855,59.75,17.151,0.205,-3.307e-6,2.654,-0.003,75.443,89.984,1203.52,107.52,0.456,0.007,9.818,129.839,98.494,3.085,0,0,3.121,0.491,0.262,0.107,0.122,0.491,0.039,0.12,-2.117e-4,0,0,0,0,0.002,5.628,90,12.576,969.509,0.001,338.92,0.107,4.179e6,10.16,81.073,0.05,0.072,0.003
5.29,359.695,374.695,34.6,34.788,-12.215,12.238,29.027,0.008,29.027,89.985,3.611,0.749,59.75,17.151,0.116,-3.395e-6,3.009,-0.005,75.3,89.983,1203.52,107.52,0.456,0.007,9.818,129.951,98.494,3.096,0,0,3.018,0.492,0.263,0.107,0.121,0.492,0.022,0.066,1.283e-4,0,0,0,0,0.003,5.542,90,12.564,969.305,0.001,338.913,0.106,4.107e6,10.16,81.073,0.05,0.072,0.003
5.34,361.41,376.41,33.99,34.178,-12.177,12.19,29.207,0.008,29.207,89.985,3.578,0.557,59.75,17.151,0.073,-3.394e-6,-3.069,-0.001,75.146,89.982,1203.52,107.52,0.456,0.007,9.818,130.005,98.494,3.101,0,0,2.916,0.493,0.264,0.107,0.121,0.493,0.014,0.047,2.929e-4,0,0,0,0,-0.003,5.39,90,12.553,969.103,0.001,338.906,0.104,4.033e6,10.16,81.073,0.05,0.073,0.003
5.39,363.094,378.094,33.383,33.571,-12.118,12.127,29.385,0.008,29.385,89.985,3.553,0.465,59.75,17.151,0.164,-3.358e-6,-2.774,-9.771e-5,75,89.982,1203.52,107.52,0.456,0.007,9.818,129.89,98.494,3.09,0,0,2.818,0.493,0.265,0.107,0.121,0.493,0.031,0.099,3.331e-4,0,0,0,0,-0.003,5.29,90,12.542,968.906,0.001,338.9,0.102,3.962e6,10.16,81.073,0.05,0.073,0.003
5.44,364.748,379.748,32.779,32.968,-12.02,12.032,29.562,0.008,29.562,89.984,3.528,0.539,59.75,17.151,0.065,-3.382e-6,-2.495,-0.009,74.869,89.981,1203.52,107.52,0.456,0.007,9.818,130.015,98.494,3.102,0,0,2.726,0.494,0.266,0.107,0.121,0.494,0.012,0.041,-1.568e-5,0,0,0,0,-0.002,5.296,90,12.532,968.712,0.001,338.893,0.1,3.894e6,10.16,81.073,0.05,0.074,0.002
5.49,366.372,381.372,32.181,32.37,-11.92,11.936,29.737,0.008,29.737,89.984,3.499,0.624,59.75,17.151,0.055,-3.372e-6,2.483,-0.018,74.745,89.981,1203.52,107.52,0.456,0.007,9.818,130.027,98.494,3.104,0,0,2.637,0.495,0.266,0.107,0.121,0.495,0.011,0.03,4.855e-4,0,0,0,0,0.002,5.311,90,12.521,968.521,0.001,338.887,0.098,3.827e6,10.16,81.073,0.05,0.074,0.002
5.54,367.967,382.967,31.586,31.776,-11.877,11.887,29.912,0.008,29.912,89.984,3.47,0.487,59.75,17.151,0.097,-3.388e-6,-2.477,-0.006,74.62,89.981,1203.52,107.52,0.456,0.007,9.818,129.972,98.494,3.098,0,0,2.544,0.496,0.267,0.107,0.121,0.496,0.019,0.059,1.768e-4,0,0,0,0,-0.002,5.16,90,12.511,968.334,0.001,338.88,0.097,3.755e6,10.16,81.073,0.05,0.074,0.002
5.59,369.531,384.531,30.994,31.185,-11.799,11.81,30.085,0.008,30.085,89.984,3.447,0.496,59.75,17.151,0.069,-3.415e-6,-2.275,-0.008,74.501,89.98,1203.52,107.52,0.456,0.007,9.818,130.008,98.494,3.102,0,0,2.457,0.496,0.268,0.107,0.121,0.496,0.013,0.043,-2.127e-4,0,0,0,0,-0.002,5.108,90,12.501,968.151,0.001,338.874,0.095,3.687e6,10.16,81.073,0.05,0.075,0.002
5.64,371.066,386.066,30.408,30.599,-11.605,11.647,30.256,0.009,30.256,89.984,3.411,0.98,59.75,17.151,0.595,-3.402e-6,2.665,-0.003,74.383,89.98,1203.52,107.52,0.456,0.007,9.818,129.348,98.494,3.037,0,0,2.389,0.497,0.269,0.107,0.121,0.498,0.116,0.348,-4.282e-4,0,0,0,0,0.003,5.43,90,12.491,967.971,0.001,338.868,0.093,3.631e6,10.16,81.073,0.05,0.075,0.002
5.69,372.572,387.572,29.828,30.018,-11.661,11.671,30.426,0.009,30.426,89.984,3.371,0.473,59.75,17.151,0.066,-3.432e-6,-3.336,-0.007,74.228,89.98,1203.52,107.52,0.456,0.007,9.818,130.01,98.494,3.102,0,0,2.288,0.498,0.27,0.107,0.121,0.498,0.013,0.044,-2.914e-4,0,0,0,0,-0.005,5.017,90,12.481,967.794,0.001,338.862,0.091,3.552e6,10.16,81.073,0.05,0.075,0.002
5.74,374.049,389.049,29.245,29.437,-11.602,11.61,30.594,0.009,30.594,89.983,3.351,0.431,59.75,17.151,0.109,-3.431e-6,-3.037,-0.001,74.068,89.98,1203.52,107.52,0.456,0.007,9.818,129.955,98.494,3.097,0,0,2.206,0.499,0.271,0.107,0.121,0.499,0.021,0.069,-3.846e-4,0,0,0,0,-0.004,4.937,90,12.471,967.621,0.001,338.856,0.09,3.484e6,10.16,81.073,0.05,0.076,0.002
5.79,375.497,390.497,28.667,28.86,-11.546,11.552,30.761,0.009,30.761,89.983,3.33,0.382,59.75,17.151,0.167,-3.447e-6,-2.834,9.112e-4,73.921,89.98,1203.52,107.52,0.456,0.007,9.818,129.88,98.494,3.089,0,0,2.125,0.5,0.272,0.107,0.121,0.5,0.032,0.103,9.742e-5,0,0,0,0,-0.004,4.842,90,12.462,967.451,0.001,338.851,0.088,3.416e6,10.16,81.073,0.05,0.077,0.002
5.84,376.916,391.916,28.092,28.286,-11.432,11.446,30.927,0.009,30.927,89.983,3.308,0.561,59.75,17.151,0.132,-3.446e-6,2.742,0.002,73.784,89.98,1203.52,107.52,0.456,0.007,9.818,129.924,98.494,3.094,0,0,2.053,0.501,0.273,0.107,0.121,0.501,0.025,0.075,4.841e-4,0,0,0,0,0.004,4.933,90,12.453,967.285,0.001,338.845,0.086,3.355e6,10.16,81.073,0.05,0.078,0.002
5.89,378.306,393.306,27.523,27.717,-11.356,11.372,31.091,0.009,31.091,89.983,3.278,0.6,59.75,17.151,0.224,-3.449e-6,3.04,0.003,73.64,89.98,1203.52,107.52,0.456,0.007,9.818,129.807,98.494,3.082,0,0,1.979,0.502,0.274,0.107,0.121,0.502,0.043,0.128,1.674e-4,0,0,0,0,0.005,4.919,90,12.444,967.122,0.001,338.84,0.085,3.29e6,10.16,81.073,0.05,0.078,0.002
5.94,379.668,394.668,26.956,27.151,-11.309,11.322,31.254,0.009,31.254,89.983,3.249,0.535,59.75,17.151,0.145,-3.454e-6,3.309,0.008,73.481,89.981,1203.52,107.52,0.456,0.007,9.818,129.906,98.494,3.092,0,0,1.903,0.503,0.275,0.107,0.121,0.503,0.028,0.081,2.001e-4,0,0,0,0,0.006,4.82,90,12.435,966.962,0.001,338.834,0.083,3.224e6,10.16,81.073,0.05,0.079,0.002
5.99,381.002,396.002,26.393,26.589,-11.209,11.229,31.416,0.01,31.416,89.982,3.22,0.677,59.75,17.151,0.422,-3.414e-6,3.649,0.003,73.308,89.981,1203.52,107.52,0.456,0.007,9.818,129.558,98.494,3.058,0,0,1.837,0.503,0.276,0.107,0.121,0.504,0.082,0.242,-1.35e-4,0,0,0,0,0.007,4.907,90,12.426,966.806,0.001,338.829,0.082,3.164e6,10.16,81.073,0.05,0.079,0.002
6.04,382.307,397.307,25.837,26.031,-11.046,11.098,31.576,0.01,31.576,89.982,3.177,1.066,59.75,17.151,1.14,-3.361e-6,4.642,8.512e-4,73.105,89.981,1203.52,107.52,0.456,0.007,9.818,128.685,98.494,2.972,0,0,1.787,0.504,0.276,0.107,0.121,0.506,0.225,0.658,3.751e-4,0,0,0,0,0.012,5.235,90,12.418,966.653,0.001,338.824,0.08,3.112e6,10.16,81.073,0.05,0.08,0.002
6.09,383.585,398.585,25.287,25.478,-10.966,11.025,31.734,0.01,31.734,89.982,3.12,1.145,59.75,17.151,1.341,-3.353e-6,6.279,0.001,72.832,89.981,1203.52,107.52,0.456,0.007,9.818,128.447,98.494,2.948,0,0,1.726,0.505,0.277,0.107,0.121,0.508,0.267,0.765,1.151e-4,0,0,0,0,0.022,5.345,90,12.409,966.503,0.001,338.819,0.079,3.054e6,10.16,81.073,0.05,0.08,0.002
6.14,384.836,399.836,24.737,24.927,-11.044,11.062,31.888,0.01,31.888,89.982,3.074,0.639,59.75,17.151,0.459,-3.425e-6,7.439,0.008,72.485,89.981,1203.52,107.52,0.456,0.007,9.818,129.511,98.494,3.053,0,0,1.638,0.506,0.279,0.107,0.121,0.507,0.089,0.238,8.328e-5,0,0,0,0,0.033,4.952,90,12.401,966.356,0.001,338.814,0.077,2.978e6,10.16,81.073,0.05,0.081,0.002
6.19,386.059,401.059,24.186,24.376,-10.975,10.997,32.041,0.01,32.041,89.982,3.043,0.685,59.75,17.151,0.588,-3.447e-6,7.869,0.006,72.102,89.981,1203.52,107.52,0.456,0.007,9.818,129.351,98.494,3.037,0,0,1.578,0.507,0.28,0.107,0.121,0.508,0.114,0.308,4.46e-4,0,0,0,0,0.039,5.042,90,12.393,966.212,0.001,338.809,0.075,2.92e6,10.16,81.073,0.05,0.081,0.002
6.24,387.255,402.255,23.638,23.829,-10.947,10.963,32.193,0.01,32.193,89.982,3.01,0.595,59.75,17.151,0.437,-3.442e-6,8.429,0.009,71.694,89.981,1203.52,107.52,0.456,0.007,9.818,129.538,98.494,3.055,0,0,1.514,0.508,0.281,0.107,0.121,0.509,0.084,0.212,3.628e-4,0,0,0,0,0.046,5.011,90,12.385,966.072,0.001,338.804,0.074,2.858e6,10.16,81.073,0.05,0.081,0.002
6.29,388.423,403.423,23.091,23.283,-10.939,10.948,32.342,0.01,32.342,89.981,2.984,0.446,59.75,17.151,0.134,-3.42e-6,8.653,0.034,71.266,89.981,1203.52,107.52,0.456,0.007,9.818,129.917,98.494,3.093,0,0,1.449,0.509,0.282,0.107,0.121,0.51,0.026,0.029,4.933e-4,0,0,0,0,0.051,4.908,90,12.378,965.935,0.001,338.8,0.072,2.794e6,10.16,81.073,0.05,0.082,0.002
6.34,389.564,404.564,22.543,22.738,-10.968,10.969,32.491,0.011,32.491,89.981,2.968,0.193,59.75,17.151,0.452,-3.426e-6,-8.422,0.015,70.836,89.981,1203.52,107.52,0.456,0.007,9.818,129.518,98.494,3.054,0,0,1.383,0.511,0.283,0.107,0.121,0.511,0.087,0.317,-1.533e-4,0,0,0,0,-0.051,4.668,90,12.37,965.801,0.001,338.795,0.07,2.725e6,10.16,81.073,0.05,0.082,0.002
6.39,390.677,405.677,21.995,22.193,-10.975,10.975,32.639,0.011,32.639,89.981,2.963,0.025,59.75,17.151,0.873,-3.387e-6,-7.666,0.009,70.432,89.98,1203.52,107.52,0.456,0.007,9.818,129.002,98.494,3.003,0,0,1.321,0.512,0.284,0.107,0.121,0.513,0.171,0.558,-1.179e-4,0,0,0,0,-0.044,4.48,90,12.363,965.671,0.001,338.791,0.069,2.658e6,10.16,81.073,0.05,0.083,0.002
6.44,391.763,406.763,21.447,21.651,-10.92,10.92,32.788,0.011,32.788,89.981,2.962,0.046,59.75,17.151,0.834,-3.417e-6,-6.764,0.009,70.072,89.98,1203.52,107.52,0.456,0.007,9.818,129.049,98.494,3.007,0,0,1.265,0.513,0.286,0.107,0.121,0.514,0.163,0.527,2.219e-5,0,0,0,0,-0.036,4.463,90,12.356,965.543,0.001,338.787,0.067,2.598e6,10.16,81.073,0.05,0.083,0.002
6.49,392.822,407.822,20.903,21.111,-10.847,10.847,32.936,0.011,32.936,89.981,2.957,0.119,59.75,17.151,0.646,-3.41e-6,-6.04,0.008,69.753,89.979,1203.52,107.52,0.456,0.007,9.818,129.277,98.494,3.03,0,0,1.211,0.514,0.287,0.107,0.121,0.515,0.126,0.411,-1.147e-5,0,0,0,0,-0.03,4.486,90,12.349,965.419,0.001,338.782,0.065,2.539e6,10.16,81.073,0.05,0.084,0.002
6.54,393.854,408.854,20.363,20.576,-10.721,10.727,33.083,0.011,33.083,89.981,2.946,0.346,59.75,17.151,0.017,-3.415e-6,5.691,0.023,69.462,89.979,1203.52,107.52,0.456,0.007,9.818,130.065,98.494,3.107,0,0,1.164,0.515,0.288,0.107,0.121,0.515,0.003,-0.018,-3.806e-4,0,0,0,0,0.028,4.689,90,12.342,965.298,0.001,338.778,0.064,2.489e6,10.16,81.073,0.05,0.084,0.002
6.59,394.858,409.858,19.83,20.045,-10.62,10.632,33.23,0.011,33.23,89.98,2.925,0.508,59.75,17.151,0.541,-3.423e-6,5.899,-0.007,69.174,89.978,1203.52,107.52,0.456,0.007,9.818,129.406,98.494,3.043,0,0,1.119,0.516,0.289,0.107,0.121,0.517,0.105,0.288,8.059e-5,0,0,0,0,0.031,4.834,90,12.336,965.18,0.001,338.774,0.063,2.437e6,10.16,81.073,0.05,0.084,0.002
6.64,395.837,410.837,19.301,19.517,-10.55,10.566,33.376,0.011,33.376,89.98,2.897,0.579,59.75,17.151,0.818,-3.416e-6,6.404,-0.008,68.867,89.977,1203.52,107.52,0.456,0.007,9.818,129.067,98.494,3.009,0,0,1.072,0.518,0.29,0.107,0.12,0.519,0.16,0.443,-3.714e-4,0,0,0,0,0.038,4.882,90,12.33,965.066,0.001,338.771,0.061,2.381e6,10.16,81.073,0.05,0.085,0.001
6.69,396.789,411.789,18.772,18.991,-10.61,10.613,33.52,0.012,33.52,89.98,2.875,0.275,59.75,17.151,0.115,-3.416e-6,-6.692,-0.004,68.537,89.977,1203.52,107.52,0.456,0.007,9.818,129.939,98.494,3.095,0,0,1.007,0.519,0.292,0.107,0.12,0.519,0.022,0.112,3.37e-4,0,0,0,0,-0.045,4.463,90,12.323,964.954,0.001,338.767,0.059,2.306e6,10.16,81.073,0.05,0.085,0.001
6.74,397.714,412.714,18.244,18.466,-10.514,10.523,33.663,0.012,33.663,89.98,2.859,0.42,59.75,17.151,0.437,-3.424e-6,6.647,-0.01,68.205,89.976,1203.52,107.52,0.456,0.007,9.818,129.534,98.494,3.055,0,0,0.965,0.52,0.293,0.107,0.12,0.521,0.084,0.212,4.463e-4,0,0,0,0,0.046,4.598,90,12.317,964.846,0.001,338.763,0.058,2.255e6,10.16,81.073,0.05,0.086,0.001
6.79,398.613,413.613,17.72,17.945,-10.463,10.472,33.806,0.012,33.806,89.98,2.837,0.444,59.75,17.151,0.588,-3.425e-6,6.985,-0.01,67.865,89.976,1203.52,107.52,0.456,0.007,9.818,129.346,98.494,3.037,0,0,0.92,0.522,0.295,0.107,0.12,0.522,0.114,0.293,2.458e-4,0,0,0,0,0.054,4.584,90,12.312,964.74,0.001,338.76,0.057,2.198e6,10.16,81.073,0.05,0.086,0.001
6.84,399.486,414.486,17.197,17.426,-10.44,10.448,33.947,0.012,33.947,89.98,2.816,0.391,59.75,17.151,0.455,-3.436e-6,7.263,-0.011,67.508,89.975,1203.52,107.52,0.456,0.007,9.818,129.51,98.494,3.053,0,0,0.871,0.523,0.296,0.107,0.12,0.524,0.088,0.208,-3.493e-4,0,0,0,0,0.061,4.465,90,12.306,964.638,0.001,338.756,0.055,2.136e6,10.16,81.073,0.05,0.086,0.001
6.89,400.333,415.333,16.676,16.909,-10.403,10.41,34.087,0.012,34.087,89.979,2.797,0.382,59.75,17.151,0.49,-3.446e-6,7.474,-0.01,67.139,89.975,1203.52,107.52,0.456,0.007,9.818,129.467,98.494,3.049,0,0,0.827,0.525,0.298,0.107,0.12,0.525,0.095,0.221,-1.19e-4,0,0,0,0,0.069,4.403,90,12.3,964.538,0.001,338.753,0.054,2.077e6,10.16,81.073,0.05,0.087,0.001
6.94,401.153,416.153,16.157,16.394,-10.366,10.373,34.226,0.012,34.226,89.979,2.778,0.375,59.75,17.151,0.531,-3.433e-6,7.699,-0.009,66.76,89.975,1203.52,107.52,0.456,0.007,9.818,129.416,98.494,3.043,0,0,0.783,0.526,0.299,0.107,0.12,0.527,0.103,0.236,-9.435e-5,0,0,0,0,0.077,4.339,90,12.295,964.442,0.001,338.75,0.052,2.019e6,10.16,81.073,0.05,0.087,0.001
6.99,401.948,416.948,15.638,15.88,-10.398,10.399,34.365,0.013,34.365,89.979,2.763,0.193,59.75,17.151,0.257,-3.433e-6,-7.738,0.002,66.372,89.974,1203.52,107.52,0.456,0.007,9.818,129.757,98.494,3.077,0,0,0.732,0.528,0.301,0.107,0.12,0.528,0.049,0.235,-4.408e-4,0,0,0,0,-0.084,3.995,90,12.29,964.349,0.001,338.747,0.05,1.948e6,10.16,81.073,0.05,0.088,0.001
7.04,402.717,417.717,15.119,15.367,-10.354,10.356,34.503,0.013,34.503,89.979,2.754,0.209,59.75,17.151,0.134,-3.432e-6,-7.52,0.003,65.991,89.974,1203.52,107.52,0.456,0.007,9.818,129.913,98.494,3.092,0,0,0.691,0.53,0.303,0.107,0.12,0.53,0.026,0.163,4.938e-4,0,0,0,0,-0.084,3.938,90,12.285,964.259,0.001,338.744,0.049,1.891e6,10.16,81.073,0.05,0.088,0.001
7.09,403.46,418.46,14.601,14.857,-10.361,10.361,34.64,0.013,34.64,89.979,2.745,0.105,59.75,17.151,0.66,-3.429e-6,-7.301,0.006,65.62,89.974,1203.52,107.52,0.456,0.007,9.818,129.257,98.494,3.028,0,0,0.646,0.532,0.305,0.107,0.12,0.533,0.128,0.473,3.741e-4,0,0,0,0,-0.085,3.671,90,12.28,964.172,0.001,338.741,0.047,1.824e6,10.16,81.073,0.05,0.089,0.001
7.14,404.177,419.177,14.083,14.347,-10.371,10.371,34.777,0.013,34.777,89.979,2.743,0.002,59.75,17.151,1.262,-3.425e-6,-6.815,0.007,65.266,89.974,1203.52,107.52,0.456,0.007,9.818,128.532,98.494,2.957,0,0,0.603,0.534,0.307,0.107,0.12,0.537,0.25,0.821,-2.197e-5,0,0,0,0,-0.08,3.372,90,12.275,964.088,0.001,338.738,0.045,1.755e6,10.16,81.073,0.05,0.089,0.001
7.19,404.869,419.869,13.566,13.84,-10.282,10.283,34.915,0.013,34.915,89.978,2.741,0.124,59.75,17.151,0.502,-3.424e-6,-6.354,0.011,64.938,89.973,1203.52,107.52,0.456,0.007,9.818,129.45,98.494,3.047,0,0,0.569,0.536,0.309,0.107,0.12,0.536,0.097,0.37,1.105e-4,0,0,0,0,-0.073,3.459,90,12.271,964.006,0.001,338.735,0.044,1.705e6,10.16,81.073,0.05,0.089,0.001
7.24,405.534,420.534,13.053,13.336,-10.256,10.257,35.051,0.013,35.051,89.978,2.734,0.106,59.75,17.151,0.584,-3.418e-6,-6.134,0.012,64.626,89.973,1203.52,107.52,0.456,0.007,9.818,129.349,98.494,3.037,0,0,0.531,0.538,0.311,0.107,0.12,0.539,0.113,0.418,4.929e-4,0,0,0,0,-0.074,3.294,90,12.267,963.928,0.001,338.732,0.042,1.644e6,10.16,81.073,0.05,0.09,0.001
